Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,CityVenue,CountryVenue,VenueNeutrality,HomeTeamLabel,AwayTeamLabel
1980-06-11,Czechoslovakia,Germany,0.0,1.0,0,67,8,1,6,12
1976-06-20,Czechoslovakia,Germany,2.0,2.0,1,7,20,1,6,12
1976-06-19,Yugoslavia,Netherlands,2.0,3.0,0,84,20,0,35,18
1976-06-17,Yugoslavia,Germany,2.0,4.0,0,7,20,0,35,12
1976-06-16,Czechoslovakia,Netherlands,3.0,1.0,2,84,20,1,6,18
1972-06-18,Germany,Russia,3.0,0.0,2,14,2,1,11,26
1972-06-17,Belgium,Hungary,2.0,1.0,2,48,2,0,2,14
1972-06-14,Belgium,Germany,1.0,2.0,0,1,2,0,2,12
1972-06-14,Hungary,Russia,0.0,1.0,0,14,2,1,13,26
1968-06-10,Italy,Yugoslavia,2.0,0.0,2,67,8,0,15,37
1968-06-08,England,Russia,2.0,0.0,2,67,8,1,8,26
1968-06-08,Italy,Yugoslavia,1.0,1.0,1,67,8,0,15,37
1968-06-05,Italy,Russia,0.0,0.0,1,59,8,0,15,26
1968-06-05,England,Yugoslavia,0.0,1.0,0,27,8,1,8,37
1964-06-21,Spain,Russia,2.0,1.0,2,52,15,0,29,26
1964-06-20,Hungary,Denmark,3.0,1.0,2,5,15,1,13,7
1964-06-17,Spain,Hungary,2.0,1.0,2,52,15,0,29,14
1964-06-17,Denmark,Russia,0.0,3.0,0,5,15,1,7,26
1960-07-10,Russia,Yugoslavia,2.0,1.0,2,64,5,1,24,37
1960-07-09,France,Czechoslovakia,0.0,2.0,0,55,5,0,10,6
1960-07-06,Czechoslovakia,Russia,0.0,3.0,0,55,5,1,6,26
1960-07-06,France,Yugoslavia,4.0,5.0,0,64,5,0,10,37
